

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
153.962  000.810  000.593: sourcing /snap/nvim/2809/usr/share/nvim/runtime/plugin/matchit.vim
154.167  000.178  000.178: sourcing /snap/nvim/2809/usr/share/nvim/runtime/plugin/matchparen.vim
154.221  000.022  000.022: sourcing /snap/nvim/2809/usr/share/nvim/runtime/plugin/netrwPlugin.vim
154.426  000.013  000.013: sourcing /home/anon/.local/share/nvim/rplugin.vim
154.437  000.186  000.173: sourcing /snap/nvim/2809/usr/share/nvim/runtime/plugin/rplugin.vim
154.561  000.087  000.087: sourcing /snap/nvim/2809/usr/share/nvim/runtime/plugin/shada.vim
154.657  000.032  000.032: sourcing /snap/nvim/2809/usr/share/nvim/runtime/plugin/spellfile.vim
154.833  000.140  000.140: sourcing /snap/nvim/2809/usr/share/nvim/runtime/plugin/tarPlugin.vim
154.996  000.119  000.119: sourcing /snap/nvim/2809/usr/share/nvim/runtime/plugin/tohtml.vim
155.052  000.022  000.022: sourcing /snap/nvim/2809/usr/share/nvim/runtime/plugin/tutor.vim
155.270  000.185  000.185: sourcing /snap/nvim/2809/usr/share/nvim/runtime/plugin/zipPlugin.vim
159.670  000.108  000.108: require('auto-session.logger')
159.692  000.380  000.272: require('auto-session.lib')
159.793  000.098  000.098: require('auto-session.autocmds')
159.901  003.816  003.339: require('auto-session')
160.160  000.090  000.090: require('auto-session.session-lens.library')
160.278  000.115  000.115: require('auto-session.session-lens.actions')
160.335  000.381  000.176: require('auto-session.session-lens')
160.568  005.145  000.948: sourcing /home/anon/.config/nvim/plugin/packer_compiled.lua
161.053  000.067  000.067: sourcing /snap/nvim/2809/usr/share/nvim/runtime/plugin/editorconfig.lua
161.165  000.082  000.082: sourcing /snap/nvim/2809/usr/share/nvim/runtime/plugin/man.lua
161.249  000.053  000.053: sourcing /snap/nvim/2809/usr/share/nvim/runtime/plugin/nvim.lua
161.273  003.302: loading rtp plugins
162.337  000.283  000.283: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/Comment.nvim/plugin/Comment.lua
162.918  000.405  000.405: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/auto-pairs/plugin/auto-pairs.vim
163.842  000.207  000.207: require('nvim-treesitter.statusline')
164.243  000.397  000.397: require('nvim-treesitter.query_predicates')
164.250  000.884  000.280: require('nvim-treesitter')
164.308  001.034  000.149: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/cellular-automaton.nvim/plugin/cellular-automaton.lua
164.949  000.097  000.097: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/dashboard-nvim/plugin/dashboard.lua
165.475  000.319  000.319: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/hop.nvim/plugin/hop.vim
165.824  000.159  000.159: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/lazygit.nvim/plugin/lazygit.vim
166.132  000.027  000.027: sourcing /home/anon/.local/share/nvim/site/pack/packer/start/nightfox.nvim/plugin/nightfox.vim
